#  RA  Dec  l  b
209.536  39.3009  438.39  71.5411
209.616  29.6117  406.422  75.0624
209.844  -10.8825  328.616  48.5708
211.949  43.3669  444.328  67.597
209.016  41.1338  443.572  70.6997
211.04  36.1311  427.681  72.1374
211.606  47.6754  452.418  64.7688
208.845  39.3004  439.414  71.9687
211.235  49.3454  455.349  63.662
210.353  10.9181  351.717  66.901
210.961  41.4482  441.534  69.3762
210.639  23.1501  382.954  73.4373
206.694  38.4176  440.657  73.8267
211.116  49.9848  456.377  63.2114
210.127  38.9349  436.617  71.3773
210.942  28.1561  400.787  73.9631
209.779  20.267  372.631  73.078
211.131  44.3855  447.336  67.3561
209.966  21.8154  377.788  73.5672
209.943  49.736  457.389  63.8678
207.63  28.4267  402.024  76.8759
213.939  47.3597  449.309  63.8915
211.273  37.9329  432.493  71.1439
212.136  52.6809  458.796  60.6848
210.621  19.9474  372.889  72.2282
207.177  47.4444  457.809  66.7944
209.236  37.42  433.734  72.7916
210.316  11.2868  352.297  67.1942
211.002  -2.2638  336.534  55.7989
210.646  53.2466  460.962  60.7427
212.274  25.6279  392.388  72.5593
209.215  57.1655  466.275  57.798
208.596  50.7911  460.338  63.4874
212.802  46.6111  449.298  64.9691
210.428  10.0363  350.362  66.1995
208.079  48.3471  457.831  65.708
209.094  66.8449  473.269  49.0481
208.838  35.3401  427.919  74.0911
211.185  26.4441  394.707  73.6409
211.688  46.2421  449.971  65.7738
209.97  51.1581  459.2  62.7014
210.279  47.027  453.006  65.8493
210.373  12.4124  354.471  67.9577
210.274  18.455  368.158  71.7811
212.277  3.62023  344.578  60.0526
211.009  16.416  364.147  70.0678
211.472  48.1818  453.358  64.4498
209.463  44.8324  450.383  67.8687
208.32  -23.9101  320.649  36.8238
209.848  48.7844  456.186  64.6657
210.685  32.1126  415.051  73.7461
210.008  1.3665  338.352  59.4349
213.093  31.9853  413.228  71.7731
212.321  7.58464  349.856  63.1236
211.618  25.0614  390.148  73.0436
207.582  8.98342  343.164  67.133
211.334  19.021  371.291  71.1995
209.676  40.6739  441.539  70.6168
208.87  60.5418  469.294  54.8593
212.514  54.123  460.149  59.3908
211.466  -4.53787  335.323  53.5861
209.646  22.2674  378.901  74.009
209.591  14.2342  356.696  69.7621
208.94  -26.4441  320.381  34.2377
209.276  49.9203  458.428  63.9691
212.488  17.9918  370.234  69.7386
209.957  17.1466  364.181  71.3125
211.472  1.98146  341.418  59.1711
212.397  36.7016  427.869  70.9072
210.628  52.9849  460.681  60.9658
210.361  33.7757  420.994  73.5432
211.94  51.7978  457.89  61.4609
210.139  30.8231  410.768  74.4563
209.385  -32.5458  318.726  28.2894
211.92  17.4845  368.162  69.9387
212.018  26.7544  396.055  72.9328
212.044  9.7894  352.784  64.9386
210.829  32.2219  415.329  73.6023
210.987  7.12579  346.933  63.6171
210.801  47.8618  453.665  64.9855
213.613  40.1718  435.446  68.4462
210.045  47.4346  453.941  65.6401
212.585  36.7944  427.936  70.7315
211.138  26.3759  394.45  73.6747
212.772  31.491  411.804  72.1257
212.546  45.7029  448.017  65.7249
208.878  43.3401  448.429  69.2451
208.146  3.20762  336.985  61.9661
207.966  51.6798  462.119  62.9386
210.068  55.2611  463.689  59.2218
211.231  3.05745  342.214  60.1979
211.696  42.0113  441.823  68.5969
209.199  53.5361  462.776  60.9609
211.154  47.7619  453.087  64.9062
211.52  57.026  464.123  57.294
208.863  44.4567  450.556  68.4339
211.127  20.6974  375.77  72.1292
212.492  37.5595  430.111  70.4687
210.418  43.9061  447.357  68.057
210.107  21.2124  376.03  73.209
209.527  48.8387  456.657  64.7499
206.939  -13.9443  323.066  46.7131
210.616  42.2425  443.724  69.0703
210.996  41.7679  442.194  69.1565
209.549  40.0402  440.212  71.0873
209.843  -17.3837  325.154  42.5366
212.552  34.5484  421.49  71.5782
211.985  24.7028  389.185  72.6454
208.939  48.1735  456.457  65.5161
209.543  30.1039  408.347  75.0696
208.982  12.6973  352.382  69.1156
208.092  39.6665  441.526  72.1913
211.195  53.2836  460.451  60.5271
211.525  52.0385  458.621  61.4231
210.488  14.2302  358.331  69.1082
209.349  9.18342  346.98  66.2368
210.351  38.6868  435.668  71.3694
210.203  13.5384  356.378  68.8537
210.975  53.8337  461.295  60.1459
208.291  8.55113  343.96  66.3717
210.393  51.5245  459.185  62.2496
211.174  43.1705  444.91  68.1527
211.623  66.3942  471.59  49.0496
211.755  58.2782  465.12  56.1605
212.397  54.4777  460.662  59.1428
209.593  62.0542  469.862  53.3438
210.36  59.7205  467.493  55.2609
209.811  38.2256  435.173  71.9755
209.58  59.6247  468.03  55.5274
209.818  3.15096  339.917  61.0527
211.316  10.7306  353.113  66.1132
208.873  19.0833  367.626  73.2399
208.785  47.414  455.547  66.1862
211.415  46.9559  451.49  65.3865
213.156  -19.9899  327.704  38.9436
211.82  50.8885  456.831  62.2241
211.482  49.29  454.99  63.6026
209.966  61.1897  468.954  54.0435
209.265  39.2767  438.723  71.7241
210.991  14.7294  360.278  69.057
210.459  21.0356  375.936  72.8376
208.638  14.3611  355.123  70.5251
210.617  48.0687  454.202  64.9065
209.119  55.2233  464.569  59.5265
207.954  6.64538  340.656  64.9954
210.566  -6.45162  332.541  52.2997
207.653  47.8077  457.654  66.3134
209.715  36.9423  431.691  72.7089
211.066  37.0915  430.422  71.6914
210.442  39.086  436.58  71.0897
209.8  49.0604  456.634  64.4651
210.807  -35.2817  319.082  25.3273
210.769  47.6042  453.306  65.1951
211.313  40.0402  437.813  69.9976
209.939  21.8524  377.876  73.6038
209.422  18.0546  365.652  72.2467
213.481  14.5259  363.807  67.0293
211.594  49.1354  454.64  63.6743
211.544  36.3918  427.887  71.6588
211.918  48.4352  453.232  64.0636
209.318  51.4373  460.278  62.6988
208.951  -13.4585  325.983  46.5114
210.478  42.969  445.422  68.6663
210.025  46.2126  452.007  66.5786
210.828  53.8544  461.463  60.1768
210.818  32.9507  417.822  73.4272
210.405  31.071  411.53  74.1898
208.521  17.8466  363.459  72.8345
210.008  47.1801  453.592  65.8518
213.831  21.6561  381.488  70.1613
209.025  24.0279  384.509  75.1048
208.383  37.7019  435.808  73.2028
209.64  7.88042  345.577  65.0347
211.065  32.2679  415.324  73.3972
