#  RA  Dec  l  b
205.628  -40.7695  313.258  21.0752
205.581  -11.1516  322.471  49.779
205.823  31.1532  55.5804  77.9929
206.64  28.3451  41.8131  77.7496
205.149  2.54395  330.591  62.7448
203.951  24.8716  22.6459  79.7829
206.653  -23.1906  319.06  37.9463
206.323  -12.4567  322.913  48.3138
207.823  -34.5508  316.697  26.7151
203.599  -9.90007  320.089  51.5342
207.333  -33.2179  316.637  28.1074
208.31  -10.1575  326.903  49.8149
207.41  36.8444  74.8357  74.3254
204.296  -8.77258  321.67  52.4261
204.742  -46.2266  311.44  15.8577
203.56  -36.5801  312.433  25.5
206.221  -21.6774  319.086  39.511
205.744  -54.378  310.456  7.73837
204.615  -40.6429  312.479  21.3547
206.71  28.8641  44.2269  77.6554
202.786  -49.1875  309.569  13.1712
207.097  -40.2397  314.553  21.3426
207.19  -48.243  312.686  13.5392
207.006  -33.0151  316.393  28.3724
204.191  -45.9109  311.11  16.239
205.403  -32.5765  315.017  29.1143
206.563  -11.7189  323.603  48.9395
206.224  -32.3737  315.841  29.1536
207.77  -51.8415  312.213  9.95131
209.897  -40.1567  316.791  20.8729
204.322  -39.8779  312.402  22.1485
208.506  -22.7005  321.311  37.9265
206.159  -26.0686  317.588  35.2837
203.478  1.22136  326.159  62.1616
206.865  18.2273  1.24656  74.3284
203.184  9.78341  334.193  70.1064
203.982  -9.82329  320.706  51.5058
207.347  -56.914  310.805  5.06844
207.611  -7.13126  327.676  52.8813
203.636  -37.3906  312.335  24.6921
206.929  -23.8681  319.137  37.2255
207.906  -20.4685  321.499  40.2224
202.841  -49.4652  309.56  12.8913
206.123  -36.1245  314.775  25.5232
208.659  -43.3015  314.956  18.0888
207.018  -41.1842  314.254  20.4382
204.56  -19.1587  317.946  42.3437
208.128  -31.6772  317.834  29.42
206.705  -20.1918  320.188  40.816
204.622  -20.116  317.709  41.401
201.619  -6.03841  318.541  55.7672
203.573  -9.63494  320.162  51.7968
202.632  -2.75262  321.953  58.6673
205.393  5.10638  333.617  64.947
204.18  -30.588  314.328  31.279
206.416  -7.05957  325.877  53.3782
204.624  3.75088  330.643  64.0603
206.456  -31.1024  316.412  30.3408
206.608  -46.7716  312.629  15.0612
206.223  -55.6766  310.46  6.411
207.599  32.8422  60.6113  76.0304
206.025  -9.67272  323.848  51.047
205.055  17.1542  353.938  74.949
204.621  -41.7985  312.244  20.2202
206.983  -30.7338  317.025  30.5863
208.408  12.4135  350.685  69.2916
203.711  -37.0525  312.468  25.0135
202.009  -14.1425  316.191  47.7842
207.136  -41.2549  314.328  20.3488
207.551  -36.3491  315.953  25.0314
202.115  -5.35363  319.702  56.3073
205.988  -7.32757  325.055  53.2726
205.443  -55.6095  310.039  6.56529
204.546  -43.0165  311.938  19.0356
207.897  -45.4244  313.854  16.1669
208.623  -10.3617  327.228  49.5114
204.585  7.60793  334.737  67.5353
205.718  37.7539  80.6325  74.8415
202.384  -42.181  310.428  20.1349
204.87  32.7922  64.3977  78.1648
202.407  10.5418  333.206  71.1328
208.544  -7.0952  329.109  52.5575
205.837  10.7058  342.05  69.5318
202.958  -21.3534  315.334  40.5429
205.739  -4.57611  326.298  55.9399
209.237  -40.6138  316.14  20.5707
203.557  -6.54284  321.569  54.7724
207.503  -30.7303  317.528  30.4749
205.292  8.28072  337.212  67.7783
206.217  -47.3424  312.232  14.5613
204.981  -23.5962  317.048  37.9421
204.128  -7.38137  322.082  53.8053
207.577  -8.37094  326.873  51.7423
204.299  -17.1816  318.282  44.3213
206.462  -24.2604  318.489  36.9613
208.801  -31.2283  318.61  29.6936
204.044  -9.14536  321.106  52.1399
205.617  1.84939  330.886  61.9186
207.441  20.4267  9.35306  75.0837
207.986  -17.6044  322.781  42.9222
203.887  -19.4507  317.018  42.2107
202.185  22.7967  7.82675  80.5047
205.426  1.19487  329.952  61.4005
208.192  -22.6143  320.994  38.0959
205.927  -7.93329  324.623  52.7222
205.451  -47.2925  311.718  14.7174
206.524  -0.101015  330.906  59.7676
206.518  20.717  8.65032  75.9784
204.439  -45.3846  311.39  16.7244
206.377  -55.8877  310.501  6.18651
205.951  -23.0548  318.313  38.2471
205.174  -5.9172  324.558  54.8722
202.76  18.0062  350  77.0965
202.035  -6.15992  319.198  55.5478
204.48  -20.8336  317.31  40.736
209.058  -46.2873  314.444  15.13
207.085  -26.3915  318.465  34.7571
203.76  -1.39879  324.863  59.6028
203.235  -31.9439  313.1  30.1064
205.154  -7.19222  323.817  53.6726
204.196  -11.1798  320.436  50.1436
204.98  -14.8222  320.051  46.431
204.691  -25.1362  316.276  36.5054
206.119  -40.0394  313.819  21.7076
202.347  -11.9638  317.403  49.8381
204.237  0.538854  327.139  61.2525
202.404  -36.0754  311.511  26.1589
206.23  -35.9317  314.917  25.6914
208.044  38.0754  77.3979  73.2047
209.36  -31.1008  319.18  29.679
203.757  -17.8288  317.368  43.817
205.393  -10.4291  322.539  50.5234
204.399  -45.1684  311.403  16.9421
203.645  -38.3341  312.154  23.7631
