#  RA  Dec  l  b
208.318  -52.6711  312.344  9.06588
202.57  -32.9893  312.25  29.1781
207.42  -57.8031  310.643  4.19307
206.794  -45.6712  313.012  16.1059
206.673  -20.344  320.093  40.6785
208.973  -45.0103  314.726  16.3792
208.122  -43.1389  314.6  18.3444
205.603  -32.9837  315.1  28.6801
205.857  -56.5749  310.075  5.57331
206.704  -39.2297  314.489  22.3953
202.51  7.10037  329.259  67.9762
205.171  -14.8042  320.317  46.3977
205.428  -28.3065  316.17  33.2687
211.039  5.59154  344.959  62.3707
205.31  49.6125  103.189  65.5641
207.667  -26.8063  318.937  34.2169
206.102  3.1877  333.08  62.9155
207.255  -26.7211  318.536  34.3989
207.443  -49.0849  312.656  12.6814
203.83  16.8025  349.692  75.52
206.598  -55.1911  310.772  6.84098
205.827  12.4938  345.163  70.9785
204.506  -25.7114  315.914  35.9825
204.363  -38.3341  312.757  23.6574
203.634  -38.2226  312.167  23.8744
201.209  -49.0395  308.541  13.4676
203.324  -14.5635  317.887  47.0884
203.306  27.2467  36.0436  80.7097
204.539  -6.57814  323.16  54.4476
203.634  -56.5631  308.867  5.81047
205.775  9.39383  339.869  68.4759
206.183  -21.0805  319.25  40.0956
204.31  8.91568  335.787  68.8128
207.495  -38.5041  315.324  22.9539
203.114  29.9085  52.4817  80.575
206.342  20.8689  8.85943  76.1968
204.625  -56.5684  309.407  5.70978
204.297  19.0112  357.647  76.723
205.631  -14.3328  321.131  46.725
203.754  -40.0159  311.912  22.0941
205.21  -45.0078  312.022  16.9894
204.621  -51.396  310.363  10.7948
204.376  -20.2259  317.375  41.3496
205.498  23.2308  16.88  77.9242
201.303  -1.42388  320.165  60.3123
204.611  -53.9959  309.872  8.24048
205.534  6.36882  335.34  65.9966
209.022  -24.1581  321.317  36.3937
202.889  -25.9013  314.104  36.0979
208.454  9.27053  345.371  66.8511
201.94  -47.2511  309.297  15.1706
208.731  -44.9607  314.566  16.4711
209.628  -4.53759  332.555  54.4293
203.594  -46.6432  310.553  15.5914
204.6  -50.5038  310.518  11.6741
206.328  -3.96516  327.679  56.2951
207.134  -48.7284  312.536  13.0747
202.688  -4.0982  321.326  57.3622
204.305  -4.00356  324.214  56.9637
202.793  7.82413  330.748  68.5222
202.793  -21.6176  315.066  40.3155
209.538  14.5576  357.297  70.016
207.421  30.8749  52.7769  76.7366
205.759  -4.67696  326.268  55.8384
205.534  33.4953  66.218  77.3555
204.256  7.85542  334.285  67.907
207.134  -15.0791  322.81  45.5763
202.291  -56.4337  308.152  6.05459
204.416  -27.6672  315.295  34.0916
204.865  -11.9277  321.087  49.243
206.198  -12.0064  322.951  48.7795
207.658  -23.3243  320.134  37.5612
205.626  19.9748  4.17535  76.2974
209.607  -56.4397  312.129  5.23003
203.732  -26.3822  314.9  35.4762
207.389  11.3512  346.602  69.1345
204.772  -24.121  316.657  37.4767
208.933  7.96823  344.366  65.5261
203.895  -8.593  321.128  52.7115
207.297  -19.7868  321.047  41.0437
204.231  -52.9294  309.842  9.33024
206.155  -19.2438  319.876  41.8706
205.184  -40.6361  312.935  21.2753
204.543  -36.3577  313.34  25.567
203.035  8.40441  332.03  68.9438
207.532  -0.74431  332.154  58.7561
207.866  -11.5359  325.523  48.6842
203.791  -30.028  314.074  31.8952
206.477  -27.0711  317.615  34.2419
206.943  -30.6831  317.002  30.644
204.202  -30.3514  314.407  31.5066
203.682  4.49664  329.346  65.1237
205.484  -12.3908  321.766  48.6248
204.248  -45.3245  311.263  16.8083
206.868  -37.6046  315.037  23.9456
207.805  -39.1097  315.416  22.3076
206.259  -27.115  317.374  34.2483
205.269  -49.1998  311.206  12.8721
205.425  -1.42066  327.897  58.9922
207.819  -56.9482  311.048  4.97666
208.321  -17.5627  323.211  42.8595
205.612  -10.3269  322.912  50.5546
202.237  -6.03686  319.598  55.6157
206.143  -50.6579  311.468  11.3302
204.52  48.5638  103.132  66.7329
208.76  -11.0193  327.046  48.8505
205.853  -34.8729  314.85  26.7922
202.281  -55.3878  308.3  7.08997
206.754  -2.63991  329.327  57.3549
206.375  -27.3708  317.418  33.9748
205.304  -15.7685  320.115  45.4351
205.784  -42.718  312.942  19.1458
206.183  -16.8441  320.832  44.1665
207.985  -1.40885  332.378  57.9605
204.174  4.4496  330.364  64.882
206.313  38.3014  81.0382  74.129
205.212  -29.0064  315.76  32.6307
204.335  35.0778  74.7608  77.3775
207.192  -4.45057  328.769  55.5178
206.978  -47.3218  312.757  14.4688
205.784  5.03794  334.356  64.7064
204.332  -34.1349  313.649  27.7793
210.567  -58.7528  312.014  2.86328
204.739  19.4674  0.32739  76.6814
208.382  -10.8272  326.627  49.1658
206.075  -26.8949  317.249  34.5021
207.366  29.6024  47.2964  77.0071
207.452  -20.8286  320.829  40.005
204.284  3.85096  330.026  64.291
203.222  -51.7801  309.424  10.5677
208.825  -10.7175  327.307  49.1071
208.093  1.1927  334.867  60.2294
209.276  -36.9004  317.263  24.136
206.769  -44.616  313.24  17.1384
205.266  30.5087  53.1341  78.6244
204.002  -15.056  318.639  46.4513
203.733  1.86215  327.169  62.6685
207.148  13.5987  350.37  70.9948
205.04  -9.86445  322.284  51.1666
202.011  -20.927  314.3  41.1347
205.247  -23.4516  317.392  38.0241
205.502  17.1765  355.115  74.6521
204.263  -42.0073  311.923  20.066
204.883  12.271  342.457  71.35
206.936  -38.8978  314.763  22.676
204.468  35.234  75.0447  77.1976
206.931  6.18497  338.031  65.1464
203.022  -9.95663  319.182  51.6273
202.974  -3.4556  322.182  57.8955
205.877  -26.6932  317.1  34.7411
203.537  -48.6468  310.16  13.6239
203.576  33.0891  68.2741  78.9885
205.624  -2.73396  327.318  57.6991
203.479  -54.4708  309.131  7.88816
207.972  -13.4817  324.671  46.8217
203.792  -16.3287  317.911  45.2666
203.188  -47.2021  310.172  15.0874
204.341  -2.74216  325.053  58.1427
205.052  -21.8415  317.67  39.6297
204.876  3.83171  331.241  64.0284
203.813  -57.5043  308.804  4.86631
204.484  -16.9661  318.598  44.4858
206.583  -4.02613  328.061  56.1429
205.87  -38.827  313.903  22.9327
201.581  -28.7782  312.092  33.4717
205.474  -5.20418  325.471  55.4432
205.347  -53.4441  310.41  8.69997
205.403  -42.0076  312.807  19.8992
206.342  -38.5417  314.362  23.1292
204.547  -18.1403  318.272  43.3338
207.04  -33.9371  316.167  27.4718
207.43  -5.20251  328.64  54.7329
204.378  17.4127  352.903  75.5936
206.821  -2.72143  329.382  57.2532
209.773  -9.4527  329.388  49.9107
206.275  -50.5551  311.573  11.4133
204.952  -25.2788  316.521  36.3125
205.052  -26.7216  316.22  34.8878
206.262  4.48108  334.727  63.9913
205.693  29.0603  45.6002  78.521
204.346  -0.737776  326.41  60.0221
205.211  -2.84867  326.52  57.7419
203.209  -51.5107  309.461  10.8348
208.629  -19.5232  322.736  40.9091
204.763  -68.8867  307.212  -6.41236
202.855  -12.9609  317.79  48.7533
209.682  -31.3177  319.41  29.3907
204.533  -38.133  312.944  23.8285
206.256  -5.8897  326.325  54.5291
204.293  -30.2445  314.523  31.5951
203.765  -7.44805  321.466  53.8458
208.667  -14.81  324.929  45.3429
206.07  -46.299  312.359  15.6024
206.535  -7.89941  325.576  52.5497
204.378  27.8405  39.5625  79.7603
205.867  -35.2409  314.77  26.4311
208.037  -47.8811  313.339  13.7592
206.385  -35.3407  315.204  26.2376
207.172  -4.66159  328.592  55.3312
207.209  -2.64078  330.097  57.1714
204.615  12.2119  341.679  71.4521
203.334  -49.7214  309.841  12.5868
206.574  -37.5918  314.792  24.0124
207.937  12.6038  350.075  69.7419
206.61  20.63  8.51598  75.8608
205.031  -11.744  321.408  49.3724
205.497  32.3862  61.5806  77.8457
203.483  -38.2989  312.024  23.8208
207.11  -35.6952  315.749  25.7529
205.854  -55.6994  310.25  6.43117
205.734  -40.3649  313.435  21.4534
202.317  -38.8716  310.938  23.4107
206.509  14.8713  351.699  72.347
206.698  -31.7852  316.451  29.6284
205.909  -37.6247  314.222  24.0991
204.497  -38.5903  312.816  23.3856
203.294  12.2042  338.206  72.1539
204.426  -45.6203  311.334  16.4945
205.05  -28.3253  315.778  33.3263
206.928  -52.2254  311.612  9.69445
202.061  1.88138  323.727  63.2568
203.644  -0.102722  325.525  60.8619
203.588  -32.7861  313.254  29.2233
207.495  -34.5832  316.396  26.7525
204.258  -16.3987  318.502  45.0895
207.414  -12.2264  324.54  48.1867
203.298  -56.5842  308.68  5.82008
209.073  -41.482  315.767  19.7667
204.027  -32.1079  313.823  29.8167
203.386  -29.9763  313.681  32.0143
202.843  6.94114  329.891  67.6974
203.187  0.541656  325.085  61.623
204.333  7.74307  334.325  67.772
207.827  24.3929  24.787  76.2542
203.292  -42.5191  311.073  19.6913
206.983  -17.8508  321.435  42.9811
205.625  -51.3408  311  10.7284
204.145  -23.6496  316.086  38.0657
204.037  12.6069  340.906  72.097
205.727  -2.10202  327.942  58.2475
205.853  -23.5691  318.037  37.7726
205.039  -25.1099  316.665  36.4584
205.924  -26.2826  317.272  35.1289
204.014  -28.7689  314.602  33.0889
204.343  -33.5561  313.79  28.3446
206.563  -37.2339  314.874  24.3627
203.628  -17.8035  317.21  43.8702
205.024  -32.8639  314.589  28.9033
205.452  -31.7292  315.279  29.9312
207.011  -18.6504  321.149  42.2093
205.662  -34.949  314.661  26.7528
200.851  -35.669  310.191  26.7512
207.077  -30.0797  317.311  31.1982
204.863  -48.6476  311.047  13.4654
205.399  -49.2932  311.272  12.7638
204.002  18.0142  353.659  76.2691
208.842  -6.3603  330.046  53.1116
206.985  -21.7409  319.947  39.2559
210.484  -49.9929  314.374  11.305
205.337  26.2309  31.1504  78.8199
205.206  -1.42835  327.497  59.0668
207.503  -19.3301  321.474  41.4222
209.427  -44.0446  315.316  17.2268
204.483  -8.57895  322.052  52.5575
207.745  -31.3463  317.573  29.8261
205.72  -41.9154  313.073  19.9404
201.749  -16.9674  315.004  45.0686
